timestamp,Resistance
0,11.9356
0.5,11.9359
1,11.9362
1.5,11.9365
2,11.9368
2.5,11.937
3,11.9372
3.5,11.9374
4,11.9376
4.5,11.9378
5,11.938
5.5,11.9381
6,11.9383
6.5,11.9384
7,11.9385
7.5,11.9386
8,11.9388
8.5,11.9388
9,11.9389
9.5,11.939
10,11.9391
10.5,11.9392
11,11.9393
11.5,11.9394
12,11.9395
12.5,11.9396
13,11.9397
13.5,11.9398
14,11.9399
14.5,11.9401
15,11.9402
15.5,11.9404
16,11.9406
16.5,11.9407
17,11.941
17.5,11.9412
18,11.9415
18.5,11.9417
19,11.942
19.5,11.9424
20,11.9427
20.5,11.9431
21,11.9435
21.5,11.9439
22,11.9443
22.5,11.9448
23,11.9454
23.5,11.9458
24,11.9464
24.5,11.947
25,11.9475
25.5,11.9482
26,11.9489
26.5,11.9494
27,11.9501
27.5,11.9509
28,11.9515
28.5,11.9522
29,11.953
29.5,11.9538
30,11.9544
30.5,11.9552
31,11.956
31.5,11.9567
32,11.9575
32.5,11.9582
33,11.9589
33.5,11.9597
34,11.9605
34.5,11.9612
35,11.9619
35.5,11.9626
36,11.9633
36.5,11.964
37,11.9647
37.5,11.9654
38,11.966
38.5,11.9667
39,11.9673
39.5,11.968
40,11.9685
40.5,11.9692
41,11.9698
41.5,11.9703
42,11.9709
42.5,11.9715
43,11.972
43.5,11.9726
44,11.9732
44.5,11.9736
45,11.9742
45.5,11.9747
46,11.9752
46.5,11.9757
47,11.9762
47.5,11.9767
48,11.9771
48.5,11.9776
49,11.978
49.5,11.9784
50,11.9789
50.5,11.9793
51,11.9797
51.5,11.98
52,11.9804
52.5,11.9808
53,11.9811
53.5,11.9815
54,11.9818
54.5,11.9821
55,11.9824
55.5,11.9826
56,11.9829
56.5,11.9831
57,11.9834
57.5,11.9836
58,11.9838
58.5,11.984
59,11.9842
59.5,11.9844
60,11.9846
60.5,11.9847
61,11.9849
61.5,11.9851
62,11.9852
62.5,11.9854
63,11.9855
63.5,11.9856
64,11.9858
64.5,11.9859
65,11.986
65.5,11.9861
66,11.9862
66.5,11.9864
67,11.9865
67.5,11.9866
68,11.9867
68.5,11.9868
69,11.9869
69.5,11.987
70,11.9871
70.5,11.9872
71,11.9872
71.5,11.9873
72,11.9874
72.5,11.9874
73,11.9875
73.5,11.9875
74,11.9875
74.5,11.9876
75,11.9876
75.5,11.9876
76,11.9876
76.5,11.9876
77,11.9876
77.5,11.9876
78,11.9876
78.5,11.9875
79,11.9875
79.5,11.9875
80,11.9875
80.5,11.9874
81,11.9874
81.5,11.9874
82,11.9873
82.5,11.9873
83,11.9872
83.5,11.9872
84,11.9872
84.5,11.9871
85,11.9871
85.5,11.9871
86,11.9871
86.5,11.987
87,11.987
87.5,11.987
88,11.987
88.5,11.9869
89,11.9869
89.5,11.9869
90,11.9869
90.5,11.9869
91,11.9868
91.5,11.9868
92,11.9868
92.5,11.9867
93,11.9867
93.5,11.9867
94,11.9866
94.5,11.9866
95,11.9865
95.5,11.9864
96,11.9864
96.5,11.9863
97,11.9862
97.5,11.9862
98,11.9861
98.5,11.986
99,11.9859
99.5,11.9858
100,11.9857
100.5,11.9856
101,11.9856
101.5,11.9855
102,11.9854
102.5,11.9853
103,11.9852
103.5,11.9851
104,11.985
104.5,11.9849
105,11.9849
105.5,11.9848
106,11.9847
106.5,11.9846
107,11.9845
107.5,11.9845
108,11.9844
108.5,11.9843
109,11.9843
109.5,11.9842
110,11.9841
110.5,11.9841
111,11.984
111.5,11.9839
112,11.9838
112.5,11.9838
113,11.9837
113.5,11.9836
114,11.9835
114.5,11.9834
115,11.9833
115.5,11.9832
116,11.9831
116.5,11.9829
117,11.9828
117.5,11.9827
118,11.9826
118.5,11.9824
119,11.9823
119.5,11.9822
120,11.9821
120.5,11.9819
121,11.9818
121.5,11.9817
122,11.9815
122.5,11.9814
123,11.9813
123.5,11.9811
124,11.981
124.5,11.9809
125,11.9808
125.5,11.9807
126,11.9806
126.5,11.9805
127,11.9804
127.5,11.9803
128,11.9802
128.5,11.9801
129,11.98
129.5,11.9799
130,11.9798
130.5,11.9797
131,11.9796
131.5,11.9795
132,11.9794
132.5,11.9793
133,11.9792
133.5,11.9791
134,11.9789
134.5,11.9788
135,11.9787
135.5,11.9786
136,11.9784
136.5,11.9783
137,11.9782
137.5,11.978
138,11.9779
138.5,11.9778
139,11.9776
139.5,11.9775
140,11.9773
140.5,11.9772
141,11.977
141.5,11.9769
142,11.9768
142.5,11.9766
143,11.9765
143.5,11.9764
144,11.9762
144.5,11.9761
145,11.976
145.5,11.9759
146,11.9758
146.5,11.9756
147,11.9755
147.5,11.9754
148,11.9753
148.5,11.9752
149,11.9751
149.5,11.975
150,11.9749
150.5,11.9748
151,11.9747
151.5,11.9746
152,11.9745
152.5,11.9744
153,11.9743
153.5,11.9742
154,11.9741
154.5,11.974
155,11.9739
155.5,11.9737
156,11.9736
156.5,11.9735
157,11.9733
157.5,11.9732
158,11.973
158.5,11.9729
159,11.9728
159.5,11.9726
160,11.9725
160.5,11.9723
161,11.9722
161.5,11.972
162,11.9719
162.5,11.9717
163,11.9716
163.5,11.9714
164,11.9713
164.5,11.9712
165,11.971
165.5,11.9709
166,11.9708
166.5,11.9707
167,11.9706
167.5,11.9704
168,11.9703
168.5,11.9702
169,11.9701
169.5,11.97
170,11.9699
170.5,11.9698
171,11.9696
171.5,11.9695
172,11.9694
172.5,11.9693
173,11.9692
173.5,11.969
174,11.9689
174.5,11.9688
175,11.9686
175.5,11.9685
176,11.9683
176.5,11.9682
177,11.968
177.5,11.9679
178,11.9677
178.5,11.9676
179,11.9674
179.5,11.9672
180,11.9671
180.5,11.9669
181,11.9667
181.5,11.9666
182,11.9664
182.5,11.9663
183,11.9661
183.5,11.966
184,11.9658
184.5,11.9657
185,11.9655
185.5,11.9654
186,11.9652
186.5,11.9651
187,11.965
187.5,11.9649
188,11.9648
188.5,11.9646
189,11.9645
189.5,11.9644
190,11.9643
190.5,11.9642
191,11.9641
191.5,11.964
192,11.9639
192.5,11.9637
193,11.9636
193.5,11.9635
194,11.9634
194.5,11.9633
195,11.9632
195.5,11.963
196,11.9629
196.5,11.9628
197,11.9626
197.5,11.9625
198,11.9624
198.5,11.9622
199,11.9621
199.5,11.962
200,11.9618
200.5,11.9617
201,11.9616
201.5,11.9614
